AD family	Representative protein	subjectid	Phage	Host	TaxID	Source	Pfam ID	Phrog ID
APIS010	NP_041954.1	uvig_557579_43				GPD	PF08684.13	phrog_2568
APIS003	AAB36891.1	uvig_558934_3				GPD	PF07275.14	phrog_14321,phrog_2059
APIS003	AAB36891.1	uvig_561281_36				GPD	PF07275.14	phrog_14321,phrog_2059
APIS030	YP_006479.1	uvig_571661_39				GPD	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS030	YP_006479.1	uvig_573601_57				GPD	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_11801,phrog_21007
APIS031	YP_006494.1	uvig_573601_67				GPD	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS003	AAB36891.1	uvig_575451_10				GPD	PF07275.14	phrog_14321,phrog_2059
APIS077	KU946962_00005	uvig_575770_11				GPD	PF08684.13	phrog_2568
APIS039	IMGVR_UViG_2751185776_000007|2751185776|2753238834	uvig_577415_2				GPD	PF03230.16	phrog_10132
APIS049	IMGVR_UViG_3300009856_000087|3300009856|Ga0131695_10912748	uvig_577660_8				GPD		
APIS048	ON170191_00003	uvig_578818_9				GPD		phrog_29522,phrog_717
APIS003	AAB36891.1	uvig_579602_43				GPD	PF07275.14	phrog_14321,phrog_2059
APIS003	AAB36891.1	uvig_581395_30				GPD	PF07275.14	phrog_14321,phrog_2059
APIS089	uvig_330502_68	uvig_581561_30				GPD		phrog_18122,phrog_27100,phrog_4400,phrog_37109,phrog_16176
APIS089	uvig_330502_68	uvig_585123_31				GPD		phrog_18122,phrog_27100,phrog_4400,phrog_37109,phrog_16176
APIS090	NP_049749.1	uvig_585812_148				GPD	PF11634.11	phrog_4363
APIS014	NP_049694.1	uvig_585812_205				GPD	PF10465.12	phrog_2167,phrog_9092
APIS012	NP_049652.1	uvig_585812_247				GPD		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS022	NP_861724.1	uvig_585812_251				GPD		phrog_3781,phrog_8539,phrog_4122
APIS018	NP_049868.1	uvig_585812_38				GPD		phrog_3151
APIS017	NP_049811.1	uvig_585812_93				GPD	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS035	YP_009790938.1	uvig_586390_23				GPD		phrog_3972,phrog_16544
APIS029	YP_002300464.1	uvig_586612_12				GPD	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_1048
APIS089	uvig_330502_68	uvig_588130_22				GPD		phrog_18122,phrog_27100,phrog_4400,phrog_37109,phrog_16176
APIS029	YP_002300464.1	uvig_590420_40				GPD	PF11195.11	phrog_30130,phrog_872,phrog_1048
APIS089	uvig_330502_68	uvig_590899_17				GPD		phrog_18122,phrog_27100,phrog_4400,phrog_37109,phrog_16176
APIS089	uvig_330502_68	uvig_592341_28				GPD		phrog_18122,phrog_27100,phrog_4400,phrog_37109,phrog_16176
APIS003	AAB36891.1	uvig_593261_51				GPD	PF07275.14	phrog_9614,phrog_14321,phrog_2059
APIS083	CP067347_00056	uvig_596313_104				GPD		phrog_20113
APIS022	NP_861724.1	uvig_63518_137				GPD		phrog_3781,phrog_8539,phrog_4122
APIS014	NP_049694.1	uvig_63518_182				GPD	PF10465.12	phrog_2167,phrog_9092
APIS017	NP_049811.1	uvig_63518_29				GPD	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS024	UPI13470.1	uvig_6574_99				GPD		phrog_23843,phrog_2428
APIS003	AAB36891.1	uvig_66451_49				GPD	PF07275.14	phrog_14321,phrog_2059
APIS079	MF042361_00008	uvig_67729_23				GPD	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_32732,phrog_9467,phrog_1048
APIS021	NP_059639.1	uvig_67729_8				GPD		phrog_7745,phrog_10966
APIS012	NP_049652.1	uvig_70837_1				GPD		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS030	YP_006479.1	uvig_71109_74				GPD	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	uvig_71109_85				GPD	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS024	UPI13470.1	uvig_72883_8				GPD		phrog_23843,phrog_2428
APIS003	AAB36891.1	uvig_74319_40				GPD	PF07275.14	phrog_14321,phrog_2059
APIS029	YP_002300464.1	uvig_77713_15				GPD	PF11195.11	phrog_30130,phrog_872,phrog_1048
APIS030	YP_006479.1	uvig_86798_35		Escherichia coli	562	GPD	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_11801,phrog_21007
APIS031	YP_006494.1	uvig_86798_45		Escherichia coli	562	GPD	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS003	AAB36891.1	uvig_86999_22				GPD	PF07275.14	phrog_14321,phrog_2059
APIS082	MGV-GENOME-0365202_107	uvig_87164_84				GPD		phrog_3972
APIS089	uvig_330502_68	uvig_94147_20				GPD		phrog_18122,phrog_27100,phrog_4400,phrog_37109,phrog_16176
APIS029	YP_002300464.1	uvig_949_5				GPD	PF11195.11	phrog_30130,phrog_872,phrog_1048
APIS026	VFR14542.1	VFR14542.1	Salmonella phage SPFM20	Salmonella	590	NCBI		phrog_8261
APIS027	WP_004399562.1	WP_004399562.1	SPbeta phages of B. subtilis	Bacillus subtilis	1423	NCBI		phrog_37006
APIS029	YP_002300464.1	YP_002300464.1	Bacillus phage SPO1	Bacillus	1386	NCBI	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_1048
APIS030	YP_006479.1	YP_006479.1	P1 of E. coli	Escherichia coli	562	NCBI	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	YP_006494.1	P1 of E. coli	Escherichia coli	562	NCBI	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS032	YP_007947949.1	YP_007947949.1	Enterobacteria phage phi80			NCBI		phrog_1119
APIS033	YP_009168126.1	YP_009168126.1	Escherichia phage vB_EcoP_24B	Escherichia coli	562	NCBI	PF14354.9	phrog_6422,phrog_599
APIS034	YP_009615327.1	YP_009615327.1	Klebsiella phage vB_KpnM_KpV79	Klebsiella	570	NCBI		phrog_1402,phrog_13897,phrog_23045
APIS035	YP_009790938.1	YP_009790938.1	Escherichia phage OSYSP	Escherichia	561	NCBI		phrog_3972,phrog_16544
APIS091	YP_009792928.1	YP_009792928.1				NCBI		phrog_2226
APIS001	YP_009840594.1	YP_009840594.1	Bsp38 of Bacillus subtilis	Bacillus subtilis	1423	NCBI	PF00753.30	phrog_392
APIS036	YP_009850475.1	YP_009850475.1	Escherichia phage Mangalitsa	Escherichia	561	NCBI		
APIS094	YP_009829723.1	IMGVR_UViG_3300041405_000299|3300041405|Ga0439438_000009_5754_6251				IMGVR		phrog_14043,phrog_17952
APIS094	YP_009829723.1	IMGVR_UViG_3300045988_167117|3300045988|Ga0495776_031990_33662_34171				IMGVR		phrog_14043,phrog_17952
APIS094	YP_009829723.1	MGV-GENOME-0378604_77				MGV		phrog_14043,phrog_17952
APIS094	YP_009829723.1	MGV-GENOME-0288342_34		Escherichia	561	MGV		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_3300045988_006100|3300045988|Ga0495776_014478_17347_17862		Escherichia	561	IMGVR		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	uvig_146039_24				GPD		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MN927225_00074	Escherichia phage vB_EcoS_XY1	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OQ442786_00042	Escherichia phage JSSK01	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MGV-GENOME-0290406_43		Escherichia	561	MGV	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	ON001686_00032	Escherichia phage vB_EcoS_SCS44	Escherichia	561	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OM632668_00028	Escherichia phage BEU35	Escherichia	561	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	uvig_584053_71				GPD	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	uvig_420133_53				GPD	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MZ576217_00033	Escherichia phage vB_EcoS-phiEc3	Escherichia	561	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_2974654489_000001|2974654489|2974654519		Escherichia	561	IMGVR	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MK972700_00012	Salmonella phage SS1	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MW331437_00036	Escherichia phage phiWAO78-1	Escherichia	561	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MT653144_00036	Salmonella phage 5sent1	Salmonella	590	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MK737937_00034	Raoultella phage RP180	Raoultella	160674	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	uvig_385574_49				GPD		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	uvig_552390_68				GPD	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MGV-GENOME-4420767_53		Enterobacteriaceae	543	MGV	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MK759883_00032	Salmonella phage vB_SenS_SB15	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MGV-GENOME-4421334_66		Enterobacteriaceae	543	MGV		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	uvig_70836_34				GPD		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_3300045988_012343|3300045988|Ga0495776_020668_22221_22736		Escherichia	561	IMGVR		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MZ576218_00032	Escherichia phage vB_EcoS-phiEc4	Escherichia	561	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MGV-GENOME-0292928_66		Escherichia	561	MGV		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MG099933_00032	Escherichia phage VB_EcoS-Golestan	Escherichia	561	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MZ234010_00046	Escherichia phage vB_EcoS-22664BS2	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MGV-GENOME-0293638_35		Escherichia	561	MGV		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MT632020_00005	Salmonella phage UPWr_S5	Salmonella	590	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_3300045988_058438|3300045988|Ga0495776_007465_18400_18897		Klebsiella	570	IMGVR		phrog_14043,phrog_17952
APIS094	YP_009829723.1	MGV-GENOME-0270442_31		Enterobacteriaceae	543	MGV		phrog_14043,phrog_17952
APIS094	YP_009829723.1	MH830339_00069	Proteus phage Stubb	Proteus	210425	INPHARED	PF13155.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	YP_009829723.1	Escherichia phage SP15	Escherichia	561	NCBI	PF13155.11,PF13155.11	phrog_14043,phrog_14043,phrog_17952,phrog_17952,phrog_849,phrog_849
APIS094	YP_009829723.1	MK373796_00094	Escherichia phage vB_EcoS_HdH2	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	KR233164_00013	Salmonella phage NR01	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MZ398246_00084	Escherichia phage IME178	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	MK373792_00083	Escherichia phage vB_EcoS_VAH1	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MF774688_00026	Salmonella phage SP1a	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	MF431735_00104	Bacteriophage T5-like poul124	Unspecified	32644	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OK272477_00089	Escherichia phage JLBYU43	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MN316588_00100	Escherichia phage VEc33	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MGV-GENOME-0370602_50				MGV	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MT577844_00080	Salmonella phage vB_StyS-LmqsSP1	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	MN026741_00095	Salmonella phage Th1	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MT080103_00124	Escherichia phage ECOP18	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OK254197_00076	Escherichia phage PNJ1902	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OM386660_00071	Escherichia phage vB_EcoS_ESCO40	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	HQ665011_00100	Escherichia phage vB_EcoS_AKFV33	Escherichia	561	INPHARED		phrog_14043,phrog_849
APIS094	YP_009829723.1	MK867835_00090	Salmonella phage vB_SenS_SB9	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	AC171169_00055	Escherichia phage H8	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	KM979355_00067	Escherichia phage DT571/2	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MW149273_00132	Salmonella phage vB_SalS_ABTNLsp4	Salmonella	590	INPHARED		phrog_14043,phrog_849
APIS094	YP_009829723.1	OM386657_00106	Escherichia phage vB_EcoS_ESCO30	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MN994504_00103	Phage NBSal005	Unspecified	32644	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_2974599810_000001|2974599810|2974599885				IMGVR		phrog_14043,phrog_849
APIS094	YP_009829723.1	MN994502_00100	Phage NBSal003	Unspecified	32644	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MT074468_00109	Salmonella phage rutana	Salmonella	590	INPHARED	PF13155.11,PF01751.27	phrog_14043
APIS094	YP_009829723.1	IMGVR_UViG_2974645054_000001|2974645054|2974645117				IMGVR	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MT311645_00017	Salmonella phage vB_Sen-E22	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_2974662754_000001|2974662754|2974662805				IMGVR	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OQ680481_00057	Salmonella phage phC17	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	KP143763_00079	Salmonella phage Shivani	Salmonella	590	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MF402939_00043	Escherichia phage OSYSP	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OQ680480_00063	Salmonella phage phC11	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	LR027384_00038	Escherichia phage vB_Eco_mar004NP2	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OQ680478_00102	Salmonella phage phA11	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	ON526840_00092	Salmonella phage GRNsp8	Salmonella	590	INPHARED	PF13155.11,PF01751.27	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MH203051_00068	Escherichia phage Gostya9	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MZ501075_00084	Escherichia phage IrisVonRoten	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MH370378_00078	Salmonella phage S131	Salmonella	590	INPHARED		phrog_14043,phrog_849
APIS094	YP_009829723.1	OQ031075_00136	Klebsiella phage KPP2018	Klebsiella	570	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OK143207_00079	Escherichia phage Lindwurm	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	MN445182_00086	Salmonella phage vB_SalS_SA001	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MT074448_00101	Salmonella phage oldekolle	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MG387042_00080	Salmonella phage SP3	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OQ359888_00101	Salmonella phage vB_SenS_UTK0008	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MZ501058_00083	Escherichia phage DaisyDussoix	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	KR422353_00001	Escherichia phage phiAPCEc03	Escherichia	561	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OQ383622_00079	Salmonella phage MET_P1_179_112	Salmonella	590	INPHARED	PF13155.11,PF01751.27	phrog_14043,phrog_17952
APIS094	YP_009829723.1	MT843274_00017	Escherichia phage BB1	Escherichia	561	INPHARED		phrog_14043,phrog_849
APIS094	YP_009829723.1	MK972716_00001	Salmonella phage SE8	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	OQ383621_00086	Salmonella phage MET_P1_137_112	Salmonella	590	INPHARED	PF13155.11,PF01751.27,PF13662.11	phrog_14043,phrog_849
APIS094	YP_009829723.1	OL800604_00081	Salmonella phage vB_STy-RN29	Salmonella	590	INPHARED		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MK972709_00123	Salmonella phage SE20	Salmonella	590	INPHARED	PF13155.11,PF01751.27,PF13662.11	phrog_14043
APIS094	YP_009829723.1	OQ383620_00078	Salmonella phage MET_P1_100_107	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MT233524_00161	Salmonella phage vB_Sen_I1	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	KY114934_00106	Salmonella phage SP01	Salmonella	590	INPHARED	PF13155.11	phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	MGV-GENOME-4430145_42		Escherichia	561	MGV		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_3300045988_149821|3300045988|Ga0495776_095910_91875_92417		Escherichia	561	IMGVR		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_3300045988_126325|3300045988|Ga0495776_066294_40338_40880		Escherichia	561	IMGVR		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	IMGVR_UViG_3300045988_158509|3300045988|Ga0495776_102224_35888_36430		Escherichia	561	IMGVR		phrog_14043,phrog_17952,phrog_849
APIS094	YP_009829723.1	uvig_585840_21				GPD		phrog_14043,phrog_17952,phrog_849
APIS095	IMGVR_UViG_3300014656_000059|3300014656|Ga0180007_100010693	IMGVR_UViG_3300014656_000059|3300014656|Ga0180007_100010693				IMGVR	PF09588.15	
APIS095	IMGVR_UViG_3300014656_000059|3300014656|Ga0180007_100010693	IMGVR_UViG_3300020119_000389|3300020119|Ga0210608_1270551262				IMGVR	PF09588.15	
APIS095	IMGVR_UViG_3300014656_000059|3300014656|Ga0180007_100010693	IMGVR_UViG_2651869516_000031|2651869516|2651913044				IMGVR	PF09588.15	
APIS095	IMGVR_UViG_3300014656_000059|3300014656|Ga0180007_100010693	IMGVR_UViG_3300002092_000017|3300002092|JGI24218J26658_100022426				IMGVR	PF09588.15	
APIS095	IMGVR_UViG_3300014656_000059|3300014656|Ga0180007_100010693	IMGVR_UViG_3300042471_001180|3300042471|Ga0453186_0003217_4823_5671				IMGVR	PF09588.15	phrog_7655
APIS095	IMGVR_UViG_3300014656_000059|3300014656|Ga0180007_100010693	IMGVR_UViG_3300021959_000186|3300021959|Ga0222716_1000049333				IMGVR	PF09588.15	phrog_7655
APIS095	IMGVR_UViG_3300014656_000059|3300014656|Ga0180007_100010693	IMGVR_UViG_3300023179_000007|3300023179|Ga0214923_1000148447				IMGVR	PF09588.15	
APIS096	IMGVR_UViG_3300030446_000094|3300030446|Ga0169454_10065948	IMGVR_UViG_3300030446_000094|3300030446|Ga0169454_10065948				IMGVR	PF07728.19,PF08406.15,PF00004.34,PF13521.11	phrog_249
APIS096	IMGVR_UViG_3300030446_000094|3300030446|Ga0169454_10065948	IMGVR_UViG_642979316_000010|642979316|643138398		Desulfovibrio piger	901	IMGVR	PF07728.19,PF08406.15,PF00004.34,PF13521.11	phrog_249
APIS096	IMGVR_UViG_3300030446_000094|3300030446|Ga0169454_10065948	IMGVR_UViG_3300023687_000160|3300023687|Ga0257069_1000289124				IMGVR	PF07728.19,PF08406.15,PF17867.6,PF00004.34	phrog_249
APIS096	IMGVR_UViG_3300030446_000094|3300030446|Ga0169454_10065948	IMGVR_UViG_3300023705_000157|3300023705|Ga0257068_1000318124				IMGVR	PF07728.19,PF08406.15,PF00004.34,PF17867.6	phrog_249
APIS096	IMGVR_UViG_3300030446_000094|3300030446|Ga0169454_10065948	IMGVR_UViG_3300028580_000125|3300028580|Ga0268357_100070164		Desulfovibrio	872	IMGVR	PF07728.19,PF08406.15,PF00004.34,PF13521.11,PF13401.11	phrog_249
APIS097	IMGVR_UViG_3300032329_000792|3300032329|Ga0335329_10068837	IMGVR_UViG_3300032329_000792|3300032329|Ga0335329_10068837				IMGVR	PF07275.16	
APIS097	IMGVR_UViG_3300032329_000792|3300032329|Ga0335329_10068837	IMGVR_UViG_3300022752_000858|3300022752|Ga0214917_1000599831				IMGVR	PF07275.16	phrog_14321
APIS097	IMGVR_UViG_3300032329_000792|3300032329|Ga0335329_10068837	IMGVR_UViG_3300009151_000159|3300009151|Ga0114962_1000038115				IMGVR	PF07275.16	
APIS097	IMGVR_UViG_3300032329_000792|3300032329|Ga0335329_10068837	IMGVR_UViG_3300006121_000098|3300006121|Ga0007824_100022634				IMGVR	PF07275.16	
APIS097	IMGVR_UViG_3300032329_000792|3300032329|Ga0335329_10068837	IMGVR_UViG_3300020712_000011|3300020712|Ga0214255_100010825				IMGVR	PF07275.16	
APIS097	IMGVR_UViG_3300032329_000792|3300032329|Ga0335329_10068837	IMGVR_UViG_3300027749_000232|3300027749|Ga0209084_10004297				IMGVR	PF07275.16	
APIS097	IMGVR_UViG_3300032329_000792|3300032329|Ga0335329_10068837	IMGVR_UViG_3300025369_000031|3300025369|Ga0208382_100006023				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391				IMGVR	PF07275.16	phrog_14321
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300037336_000127|3300037336|Ga0400274_000251_2998_3528				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300034159_000061|3300034159|Ga0370509_0000029_507_1064				IMGVR	PF07275.16	phrog_14321
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_2645727527_000001|2645727527|2645845512		Rhodopseudomonas palustris	1076	IMGVR	PF07275.16	phrog_14321
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300032420_000017|3300032420|Ga0335397_1001035512				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300009083_000004|3300009083|Ga0105047_1000188437				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_2597489926_000001|2597489926|2598003092		Bradyrhizobium oligotrophicum	44255	IMGVR	PF07275.16	phrog_14321
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300046512_000107|3300046512|Ga0495610_0000324_47256_47819				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300025018_000518|3300025018|Ga0210043_100111523				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300008085_000131|3300008085|Ga0100378_100167019				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300046002_006786|3300046002|Ga0485177_0000195_4596_5162				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300008448_000244|3300008448|Ga0114876_100029733				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300010214_000051|3300010214|Ga0136260_100087137				IMGVR	PF07275.16	
APIS098	IMGVR_UViG_3300033553_000842|3300033553|Ga0371479_1082023391	IMGVR_UViG_3300012974_000011|3300012974|Ga0123350_1000024511				IMGVR	PF07275.16	phrog_3931,phrog_19003,phrog_8027
APIS099	IMGVR_UViG_3300050134_000048|3300050134|Ga0500026_0000319_27356_28222	IMGVR_UViG_3300050134_000048|3300050134|Ga0500026_0000319_27356_28222				IMGVR	PF09588.15	
